nom,prenom,apogee,cour9,cour10,cour11,cour12,cour13,cour14,cour15,cour16,tp9,tp10,tp11,tp12,tp13,tp14,tp15,tp16
Al-Mutawakkil,Rania,87956839,0,0,1,0,0,0,1,1,0,1,1,0,0,1,1,1
Chennouf,Fadoua,46190819,1,0,0,0,0,0,1,0,1,1,1,1,0,0,1,1
El-Gassimi,Nadia,82720273,0,0,1,0,1,0,1,0,0,0,1,1,1,0,1,0
El-Kosari,Jamal,75236473,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0
Ouares,Rania,60310362,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0
El-Bennani,Fadel,81788668,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0
El-Benali,Mounir,85761190,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0
El-Midani,Ali,11493970,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1
Hasnaoui,Dounia,81811666,1,0,1,1,1,0,0,0,1,1,1,1,1,0,0,0
Berrada,Jawad,17984924,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
Nissani,Hajar,73942041,1,1,0,1,1,1,0,0,1,1,0,1,1,1,0,1
Baddi,Asmae,66376441,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1
El-Khader,Hicham,92214212,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1
Ezzedine,Amal,49152306,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1
Idrisi,Nassim,46279776,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0
Ouares,Ines,85828368,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
Arbi,Laila,84931248,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1
Rifai,Malika,54091618,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1
El-Bekkali,Hassan,27070390,1,0,1,1,0,0,0,0,1,1,1,1,0,0,0,1
El-Midani,Nour,60251853,1,0,0,1,0,1,0,1,1,0,0,1,1,1,0,1
Nadi,Othman,73801476,0,1,0,0,0,0,1,1,0,1,1,0,1,0,1,1
Anas,Wiam,25176487,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0
El-Mansouri,Maha,59201033,1,1,0,0,1,0,0,1,1,1,1,0,1,1,1,1
El-Mekki,Malak,35062206,0,0,0,0,1,0,1,0,1,0,0,0,1,1,1,0
El-Idrissi,Hassan,48334134,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
Maid,Kawtar,57785456,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
Anas,Younes,57283480,1,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1
Saghir,Youssef,95586003,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0
El-Mekki,Ines,30843296,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0
Nadi,Hajar,18388787,1,1,0,0,0,0,0,1,1,1,0,0,0,1,1,1
Maddouri,Fatiha,46657796,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1
El-Chaoui,Imane,60121172,0,0,1,1,0,0,0,0,1,0,1,1,0,0,1,1
Marhaba,Sanae,41059192,1,1,0,1,1,0,0,1,1,1,1,1,1,0,0,1
Ouazzani,Siham,72183146,1,0,1,0,0,1,0,0,1,0,1,0,1,1,0,0
Mouhammad,Loubna,13035541,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0
Jouhari,Amine,26456283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mejri,Youssef,30141586,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,1
Benkirane,Loubna,61072533,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1
El-Qasimi,Zine,17583209,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,1
Chafik,Hanane,74588410,1,0,0,0,0,1,1,1,1,0,1,0,0,1,1,1
El-Basri,Salim,69535522,0,1,1,1,0,0,0,1,0,1,1,1,0,1,1,1
