nom,prenom,apogee,cour9,cour10,cour11,cour12,cour13,cour14,cour15,cour16,tp9,tp10,tp11,tp12,tp13,tp14,tp15,tp16
Marhaba,Rachida,97435215,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1
Dahbi,Ibrahim,58865474,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0
Hassan,Walid,73323574,0,1,0,0,1,0,0,1,1,1,0,0,1,1,0,1
Oukhira,Jawad,82566381,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
Zine,Othman,43824985,0,0,1,1,1,0,1,0,0,0,1,1,1,0,1,0
Tazi,Hassan,66171097,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1
Djamel,Layla,61325260,1,0,0,0,0,1,1,1,1,0,1,1,0,1,1,1
Mokhtar,Hanane,93943030,0,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0
Atfi,Anissa,93359048,0,1,0,1,1,0,1,0,0,1,1,1,1,1,1,0
Cherkaoui,Jana,98018629,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1
Lahouari,Bilal,63763012,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0
Amrani,Ismail,12604122,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1
El-Mohammadi,Layla,46282529,0,0,0,1,1,0,0,0,1,0,1,1,1,0,0,0
Chouki,Hanae,46711143,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,1
Akoubri,Siham,18611733,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1
Nadi,Fatima,45184379,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1
Al-Fadli,Riyad,70929613,0,1,0,1,1,1,0,0,0,1,1,1,1,1,0,0
Bounou,Nasser,67899720,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Akil,Rania,87659263,1,0,0,1,0,1,1,0,1,1,0,1,0,1,1,0
El-Morrabit,Fatima,51764635,1,1,0,0,1,0,0,0,1,1,0,1,1,0,0,0
El-Alaoui,Yahya,35941282,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
Jouhari,Rachid,15633439,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0
Maid,Malak,14947992,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Aziz,Dari,57155087,1,0,0,0,0,0,1,0,1,0,0,1,1,1,1,0
Belaid,Sami,48673398,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0
El-Rahmani,Rachid,79453784,0,1,0,1,1,0,0,0,1,1,0,1,1,1,1,1
Hammani,Jawad,70364441,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,1
Oumahdi,Fatima,16433245,0,0,0,0,0,1,1,0,1,0,1,0,0,1,1,0
Taoufiq,Meriem,99931124,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1
